,country,latitude,longitude,date,year,month,week,day,yearWeek,population,confirmed,Deaths,recovered,testDone,testingRate,positivityRate,dosesReceived,dosesExported,firstDose,hospitalOccupancy,IcuOccupancy
0,Austria,48.2,16.366667,2020-04-06,2020,4,15,6,2020-15,8901064,12297,220,3463,12339,138.62,14.9,0,0,0,824,250
1,Austria,48.2,16.366667,2020-04-07,2020,4,15,7,2020-15,8901064,12639,243,4046,12339,138.62,14.9,0,0,0,857,243
2,Austria,48.2,16.366667,2020-04-08,2020,4,15,8,2020-15,8901064,12942,273,4512,12339,138.62,14.9,0,0,0,829,267
3,Austria,48.2,16.366667,2020-04-09,2020,4,15,9,2020-15,8901064,13244,295,5240,12339,138.62,14.9,0,0,0,820,266
4,Austria,48.2,16.366667,2020-04-10,2020,4,15,10,2020-15,8901064,13555,319,6064,12339,138.62,14.9,0,0,0,771,261
5,Austria,48.2,16.366667,2020-04-11,2020,4,15,11,2020-15,8901064,13806,337,6604,12339,138.62,14.9,0,0,0,790,245
6,Austria,48.2,16.366667,2020-04-12,2020,4,15,12,2020-15,8901064,13945,350,6987,12339,138.62,14.9,0,0,0,792,243
7,Austria,48.2,16.366667,2020-04-13,2020,4,16,13,2020-16,8901064,14041,368,7343,58488,657.09,1.17,0,0,0,742,239
8,Austria,48.2,16.366667,2020-04-14,2020,4,16,14,2020-16,8901064,14226,384,7633,58488,657.09,1.17,0,0,0,759,243
9,Austria,48.2,16.366667,2020-04-15,2020,4,16,15,2020-16,8901064,14336,393,8098,58488,657.09,1.17,0,0,0,769,232
10,Austria,48.2,16.366667,2020-04-16,2020,4,16,16,2020-16,8901064,14476,410,8986,58488,657.09,1.17,0,0,0,729,238
11,Austria,48.2,16.366667,2020-04-17,2020,4,16,17,2020-16,8901064,14595,431,9704,58488,657.09,1.17,0,0,0,682,227
12,Austria,48.2,16.366667,2020-04-18,2020,4,16,18,2020-16,8901064,14671,443,10214,58488,657.09,1.17,0,0,0,647,208
13,Austria,48.2,16.366667,2020-04-19,2020,4,16,19,2020-16,8901064,14749,452,10501,58488,657.09,1.17,0,0,0,613,204
14,Austria,48.2,16.366667,2020-04-20,2020,4,17,20,2020-17,8901064,14795,470,10631,33443,375.72,1.34,0,0,0,611,194
15,Austria,48.2,16.366667,2020-04-21,2020,4,17,21,2020-17,8901064,14873,491,10971,33443,375.72,1.34,0,0,0,560,196
16,Austria,48.2,16.366667,2020-04-22,2020,4,17,22,2020-17,8901064,14925,510,11328,33443,375.72,1.34,0,0,0,524,176
17,Austria,48.2,16.366667,2020-04-23,2020,4,17,23,2020-17,8901064,15002,522,11694,33443,375.72,1.34,0,0,0,508,169
18,Austria,48.2,16.366667,2020-04-24,2020,4,17,24,2020-17,8901064,15071,530,11872,33443,375.72,1.34,0,0,0,495,156
19,Austria,48.2,16.366667,2020-04-25,2020,4,17,25,2020-17,8901064,15148,536,12103,33443,375.72,1.34,0,0,0,460,148
20,Austria,48.2,16.366667,2020-04-26,2020,4,17,26,2020-17,8901064,15225,542,12282,33443,375.72,1.34,0,0,0,449,145
21,Austria,48.2,16.366667,2020-04-27,2020,4,18,27,2020-18,8901064,15274,549,12362,26598,298.82,1.17,0,0,0,439,140
22,Austria,48.2,16.366667,2020-04-28,2020,4,18,28,2020-18,8901064,15357,569,12580,26598,298.82,1.17,0,0,0,425,136
23,Austria,48.2,16.366667,2020-04-29,2020,4,18,29,2020-18,8901064,15402,580,12779,26598,298.82,1.17,0,0,0,386,131
24,Austria,48.2,16.366667,2020-04-30,2020,4,18,30,2020-18,8901064,15452,584,12907,26598,298.82,1.17,0,0,0,372,128
25,Austria,48.2,16.366667,2020-05-01,2020,5,18,1,2020-18,8901064,15531,589,13110,26598,298.82,1.17,0,0,0,348,124
26,Austria,48.2,16.366667,2020-05-02,2020,5,18,2,2020-18,8901064,15558,596,13180,26598,298.82,1.17,0,0,0,314,114
27,Austria,48.2,16.366667,2020-05-03,2020,5,18,3,2020-18,8901064,15597,598,13228,26598,298.82,1.17,0,0,0,308,114
28,Austria,48.2,16.366667,2020-05-04,2020,5,19,4,2020-19,8901064,15621,600,13316,42153,473.57,0.63,0,0,0,309,111
29,Austria,48.2,16.366667,2020-05-05,2020,5,19,5,2020-19,8901064,15650,606,13462,42153,473.57,0.63,0,0,0,314,104
30,Austria,48.2,16.366667,2020-05-06,2020,5,19,6,2020-19,8901064,15684,608,13639,42153,473.57,0.63,0,0,0,321,97
31,Austria,48.2,16.366667,2020-05-07,2020,5,19,7,2020-19,8901064,15752,609,13698,42153,473.57,0.63,0,0,0,268,92
32,Austria,48.2,16.366667,2020-05-08,2020,5,19,8,2020-19,8901064,15774,614,13836,42153,473.57,0.63,0,0,0,258,81
33,Austria,48.2,16.366667,2020-05-09,2020,5,19,9,2020-19,8901064,15833,615,13928,42153,473.57,0.63,0,0,0,230,79
34,Austria,48.2,16.366667,2020-05-10,2020,5,19,10,2020-19,8901064,15871,618,13991,42153,473.57,0.63,0,0,0,219,72
35,Austria,48.2,16.366667,2020-05-11,2020,5,20,11,2020-20,8901064,15882,620,14061,46001,516.8,0.73,0,0,0,211,68
36,Austria,48.2,16.366667,2020-05-12,2020,5,20,12,2020-20,8901064,15961,623,14148,46001,516.8,0.73,0,0,0,205,59
37,Austria,48.2,16.366667,2020-05-13,2020,5,20,13,2020-20,8901064,15997,624,14304,46001,516.8,0.73,0,0,0,188,55
38,Austria,48.2,16.366667,2020-05-14,2020,5,20,14,2020-20,8901064,16058,626,14405,46001,516.8,0.73,0,0,0,180,54
39,Austria,48.2,16.366667,2020-05-15,2020,5,20,15,2020-20,8901064,16109,628,14471,46001,516.8,0.73,0,0,0,165,47
40,Austria,48.2,16.366667,2020-05-16,2020,5,20,16,2020-20,8901064,16201,629,14524,46001,516.8,0.73,0,0,0,158,50
41,Austria,48.2,16.366667,2020-05-17,2020,5,20,17,2020-20,8901064,16242,629,14563,46001,516.8,0.73,0,0,0,149,48
42,Austria,48.2,16.366667,2020-05-18,2020,5,21,18,2020-21,8901064,16269,629,14614,39348,442.06,0.67,0,0,0,151,45
43,Austria,48.2,16.366667,2020-05-19,2020,5,21,19,2020-21,8901064,16321,632,14678,39348,442.06,0.67,0,0,0,143,39
44,Austria,48.2,16.366667,2020-05-20,2020,5,21,20,2020-21,8901064,16353,633,14882,39348,442.06,0.67,0,0,0,137,37
45,Austria,48.2,16.366667,2020-05-21,2020,5,21,21,2020-21,8901064,16404,633,14951,39348,442.06,0.67,0,0,0,156,32
46,Austria,48.2,16.366667,2020-05-22,2020,5,21,22,2020-21,8901064,16436,635,15005,39348,442.06,0.67,0,0,0,128,31
47,Austria,48.2,16.366667,2020-05-23,2020,5,21,23,2020-21,8901064,16486,639,15037,39348,442.06,0.67,0,0,0,116,28
48,Austria,48.2,16.366667,2020-05-24,2020,5,21,24,2020-21,8901064,16503,640,15063,39348,442.06,0.67,0,0,0,108,29
49,Austria,48.2,16.366667,2020-05-25,2020,5,22,25,2020-22,8901064,16539,641,15138,46677,524.4,0.42,0,0,0,108,31
50,Austria,48.2,16.366667,2020-05-26,2020,5,22,26,2020-22,8901064,16557,643,15182,46677,524.4,0.42,0,0,0,95,32
51,Austria,48.2,16.366667,2020-05-27,2020,5,22,27,2020-22,8901064,16591,645,15228,46677,524.4,0.42,0,0,0,84,32
52,Austria,48.2,16.366667,2020-05-28,2020,5,22,28,2020-22,8901064,16628,668,15286,46677,524.4,0.42,0,0,0,77,30
53,Austria,48.2,16.366667,2020-05-29,2020,5,22,29,2020-22,8901064,16655,668,15347,46677,524.4,0.42,0,0,0,78,25
54,Austria,48.2,16.366667,2020-05-30,2020,5,22,30,2020-22,8901064,16685,668,15520,46677,524.4,0.42,0,0,0,75,23
55,Austria,48.2,16.366667,2020-05-31,2020,5,22,31,2020-22,8901064,16731,668,15593,46677,524.4,0.42,0,0,0,70,27
56,Austria,48.2,16.366667,2020-06-01,2020,6,23,1,2020-23,8901064,16733,668,15596,41063,461.33,0.55,0,0,0,68,29
57,Austria,48.2,16.366667,2020-06-02,2020,6,23,2,2020-23,8901064,16759,669,15629,41063,461.33,0.55,0,0,0,62,26
58,Austria,48.2,16.366667,2020-06-03,2020,6,23,3,2020-23,8901064,16771,670,15672,41063,461.33,0.55,0,0,0,66,21
59,Austria,48.2,16.366667,2020-06-04,2020,6,23,4,2020-23,8901064,16805,670,15717,41063,461.33,0.55,0,0,0,65,22
60,Austria,48.2,16.366667,2020-06-05,2020,6,23,5,2020-23,8901064,16843,672,15742,41063,461.33,0.55,0,0,0,55,20
61,Austria,48.2,16.366667,2020-06-06,2020,6,23,6,2020-23,8901064,16898,672,15789,41063,461.33,0.55,0,0,0,55,17
62,Austria,48.2,16.366667,2020-06-07,2020,6,23,7,2020-23,8901064,16902,672,15793,41063,461.33,0.55,0,0,0,52,17
63,Austria,48.2,16.366667,2020-06-08,2020,6,24,8,2020-24,8901064,16968,672,15839,35243,395.94,0.49,0,0,0,65,17
64,Austria,48.2,16.366667,2020-06-09,2020,6,24,9,2020-24,8901064,16979,672,15875,35243,395.94,0.49,0,0,0,65,19
65,Austria,48.2,16.366667,2020-06-10,2020,6,24,10,2020-24,8901064,17005,673,15910,35243,395.94,0.49,0,0,0,63,17
66,Austria,48.2,16.366667,2020-06-11,2020,6,24,11,2020-24,8901064,17034,674,15949,35243,395.94,0.49,0,0,0,67,14
67,Austria,48.2,16.366667,2020-06-12,2020,6,24,12,2020-24,8901064,17064,675,15985,35243,395.94,0.49,0,0,0,60,9
68,Austria,48.2,16.366667,2020-06-13,2020,6,24,13,2020-24,8901064,17078,677,16012,35243,395.94,0.49,0,0,0,62,10
69,Austria,48.2,16.366667,2020-06-14,2020,6,24,14,2020-24,8901064,17109,677,16059,35243,395.94,0.49,0,0,0,57,12
70,Austria,48.2,16.366667,2020-06-15,2020,6,25,15,2020-25,8901064,17135,678,16066,15775,177.23,1.57,0,0,0,64,15
71,Austria,48.2,16.366667,2020-06-16,2020,6,25,16,2020-25,8901064,17189,681,16089,15775,177.23,1.57,0,0,0,66,12
72,Austria,48.2,16.366667,2020-06-17,2020,6,25,17,2020-25,8901064,17203,687,16099,15775,177.23,1.57,0,0,0,60,11
